id,x,y,w,h
1,152,65,58,20
2,152,96,58,20
3,151,129,58,20
4,154,163,58,20
5,154,198,58,20
6,154,229,58,20
7,154,259,58,20
8,154,290,58,20
9,154,323,58,20
10,154,355,58,20
11,154,383,58,20
12,154,415,58,20
13,157,446,58,20
14,157,479,58,20
15,161,584,58,20
16,161,616,58,20
17,159,646,58,20
18,159,677,58,20
19,161,708,58,20
20,162,738,58,20
21,164,767,58,20
22,164,797,58,20
23,161,828,58,20
24,161,859,58,20
25,162,891,58,20
26,161,923,58,20
27,161,956,58,20
28,85,321,58,20
29,85,352,58,20
30,85,385,58,20
31,84,418,58,20
32,85,447,58,20
33,84,479,58,20
34,93,585,58,20
35,92,615,58,20
36,93,644,58,20
37,92,676,58,20
38,92,708,58,20
39,92,740,58,20
40,92,799,58,20
41,92,769,58,20
42,92,830,58,20
43,92,861,58,20
44,92,925,58,20
45,92,956,58,20
46,92,986,58,20
47,302,62,58,20
48,302,93,58,20
49,302,126,58,20
50,317,162,58,20
51,315,193,58,20
52,317,222,58,20
53,317,255,58,20
54,317,286,58,20
55,315,321,58,20
56,315,354,58,20
57,317,380,58,20
58,317,410,58,20
59,315,442,58,20
60,317,477,58,20
61,318,511,58,20
62,317,582,58,20
63,318,613,58,20
64,318,643,58,20
65,318,672,58,20
66,318,702,58,20
67,318,735,58,20
68,318,767,58,20
69,320,800,58,20
70,320,830,58,20
71,320,859,58,20
72,318,892,58,20
73,318,923,58,20
74,318,951,58,20
75,318,983,58,20
76,394,65,58,20
77,394,124,58,20
78,387,163,58,20
79,387,195,58,20
80,387,222,58,20
81,389,254,58,20
82,387,288,58,20
83,387,316,58,20
84,387,347,58,20
85,387,377,58,20
86,389,410,58,20
87,387,441,58,20
88,387,475,58,20
89,387,510,58,20
90,387,584,58,20
91,389,610,58,20
92,387,643,58,20
93,389,671,58,20
94,391,703,58,20
95,392,733,58,20
96,391,767,58,20
97,391,794,58,20
98,391,827,58,20
99,391,915,58,20
100,389,948,58,20
101,389,978,58,20
102,387,886,58,20
103,394,93,58,20
104,538,30,58,20
105,537,85,58,20
106,539,140,58,20
107,542,195,58,20
108,542,222,58,20
109,541,252,58,20
110,541,282,58,20
111,542,351,58,20
112,542,380,58,20
113,546,441,58,20
114,542,410,58,20
115,544,477,58,20
116,546,508,58,20
117,546,580,58,20
118,549,610,58,20
119,551,639,58,20
120,551,669,58,20
121,549,697,58,20
122,551,731,58,20
123,551,759,58,20
124,549,820,58,20
125,551,792,58,20
126,549,855,58,20
